Match_ID	Sex	anat	func	DTI	Scan_Time	Session
25629	female	1	1	1	'04-May-2013'	2
25630	female	1	1	1	'07-May-2013'	2
25631	male	1	1	1	'06-May-2013'	2
25632	male	1	1	1	'04-May-2013'	2
25633	female	1	1	1	'03-Sep-2013'	2
25634	female	1	1	1	'03-Sep-2013'	2
25635	male	1	1	1	'10-Jun-2013'	2
25636	female	1	1	1	'10-Jun-2013'	2
25637	female	1	1	1	'10-Jun-2013'	2
25638	female	1	1	1	'10-Jun-2013'	2
25639	male	1	1	1	'09-Sep-2013'	2
25640	female	1	1	1	'18-Jun-2013'	2
25641	female	1	1	1	'18-Jun-2013'	2
25642	female	1	1	1	'06-May-2013'	2
25643	female	1	1	1	'08-Jul-2013'	2
25644	female	1	1	1	'07-May-2013'	2
25645	male	1	1	1	'07-May-2013'	2
25646	female	1	1	1	'08-Jul-2013'	2
25647	female	1	1	1	'07-May-2013'	2
25648	female	1	1	1	'07-May-2013'	2
25649	female	1	1	1	'05-May-2013'	2
25650	male	1	1	1	'24-Jun-2013'	2
25651	male	1	1	1	'07-Sep-2013'	2
25652	female	1	1	1	'08-Sep-2013'	2
25653	male	1	1	1	'08-Jul-2013'	2
25654	female	1	1	n/a	'05-May-2013'	2
25655	female	1	1	1	'04-Sep-2013'	2
25656	female	1	1	1	'06-Sep-2013'	2
25657	male	1	1	1	'05-May-2013'	2
25658	male	1	1	1	'07-May-2013'	2
25659	female	1	1	1	'07-May-2013'	2
25660	female	1	1	1	'09-Sep-2013'	2
25661	female	1	1	1	'07-Sep-2013'	2
25662	female	1	1	1	'04-May-2013'	2
25663	female	1	1	1	'08-Jul-2013'	2
25664	female	1	1	1	'04-May-2013'	2
25665	female	1	1	1	'08-Sep-2013'	2
25666	female	1	1	1	'04-Sep-2013'	2
25667	female	1	1	1	'04-Sep-2013'	2
25668	female	1	1	1	'06-May-2013'	2
25669	male	1	1	1	'07-May-2013'	2
25670	male	1	1	1	'05-May-2013'	2
25671	male	1	1	1	'06-Sep-2013'	2
25672	female	1	1	1	'07-May-2013'	2
25673	female	1	1	1	'08-Jul-2013'	2
25674	female	1	1	1	'04-Sep-2013'	2
25675	female	1	1	1	'04-Sep-2013'	2
25676	female	1	1	1	'09-Sep-2013'	2
25677	female	1	1	1	'04-Sep-2013'	2
25678	female	1	1	1	'02-Jul-2013'	2
25679	female	1	1	1	'02-Jul-2013'	2
25680	male	1	1	1	'02-Jul-2013'	2
25681	female	1	1	1	'03-Sep-2013'	2
25682	male	1	1	1	'03-Sep-2013'	2
25683	male	1	1	1	'04-May-2013'	2
25684	male	1	1	1	'06-May-2013'	2
25685	female	1	1	1	'06-Sep-2013'	2
25686	male	1	1	1	'06-May-2013'	2
25687	male	1	1	1	'06-May-2013'	2
25688	male	1	1	1	'06-May-2013'	2
25689	female	1	1	1	'05-May-2013'	2
25690	male	1	1	1	'05-May-2013'	2
25691	female	1	1	1	'24-Jun-2013'	2
25692	male	1	1	1	'04-May-2013'	2
25693	male	1	1	1	'06-May-2013'	2
25694	male	1	1	1	'06-May-2013'	2
25695	male	1	1	1	'05-May-2013'	2
25696	male	1	1	1	'02-Jul-2013'	2
25697	male	1	1	1	'07-May-2013'	2
25698	male	1	1	1	'04-Sep-2013'	2
25699	male	1	1	1	'07-Sep-2013'	2
25700	male	1	1	1	'08-Sep-2013'	2
25701	male	1	1	1	'02-Jul-2013'	2
25702	male	1	1	1	'02-Jul-2013'	2
25703	male	1	1	1	'07-May-2013'	2
25704	male	1	1	1	'24-Jun-2013'	2
25705	male	1	1	1	'08-Jul-2013'	2
25706	male	1	1	1	'24-Jun-2013'	2
25707	male	1	1	1	'10-Sep-2013'	2
25708	male	1	1	1	'18-Jun-2013'	2
25709	male	1	1	1	'07-May-2013'	2
25710	male	1	1	1	'06-Sep-2013'	2
25711	male	1	1	1	'06-Sep-2013'	2
25712	male	1	1	1	'04-May-2013'	2
25713	male	1	1	1	'07-Sep-2013'	2
25714	male	1	1	1	'06-Sep-2013'	2
25715	male	1	1	1	'06-May-2013'	2
25716	male	1	1	1	'07-Sep-2013'	2
25717	female	1	1	1	'01-Jul-2013'	2
25718	male	1	1	1	'07-Sep-2013'	2
25719	male	1	1	1	'07-Sep-2013'	2
25720	male	1	1	1	'08-Sep-2013'	2
25721	female	1	1	1	'08-Sep-2013'	2
25722	female	1	1	1	'09-Sep-2013'	2
25723	female	1	1	1	'07-Sep-2013'	2
25724	female	1	1	1	'06-Sep-2013'	2
25725	male	1	1	1	'06-Sep-2013'	2
25726	female	1	1	1	'10-Sep-2013'	2
25727	female	1	1	1	'08-Sep-2013'	2
25728	male	1	1	1	'08-Sep-2013'	2
25729	male	1	1	1	'08-Sep-2013'	2
25730	male	1	1	1	'06-Sep-2013'	2
25731	male	1	1	1	'07-Sep-2013'	2
25732	female	1	1	1	'08-Jul-2013'	2
25733	female	1	1	1	'07-Sep-2013'	2
25734	female	1	1	1	'08-Sep-2013'	2
25735	male	1	1	1	'08-Sep-2013'	2
25736	female	1	1	1	'08-Sep-2013'	2
25737	male	1	1	1	'08-Sep-2013'	2
25738	male	1	1	1	'04-Sep-2013'	2
25739	female	1	1	1	'10-Jun-2013'	2
25740	female	1	1	1	'07-May-2013'	2
25741	female	1	1	1	'11-Jun-2013'	2
25742	female	1	1	1	'04-May-2013'	2
25743	female	1	1	1	'09-Sep-2013'	2
25744	female	1	1	1	'04-Sep-2013'	2
25745	male	1	1	1	'10-Jun-2013'	2
25746	female	1	1	1	'09-Sep-2013'	2
25747	male	1	1	1	'17-Jun-2013'	2
25748	female	1	1	1	'05-May-2013'	2
25749	male	1	1	1	'08-Jul-2013'	2
25750	female	1	1	1	'06-Sep-2013'	2
25751	female	1	1	1	'04-May-2013'	2
25752	male	1	1	1	'04-May-2013'	2
25753	male	1	1	1	'08-Jul-2013'	2
25754	female	1	1	1	'07-May-2013'	2
25756	male	1	1	1	'04-Sep-2013'	2
25757	male	1	1	1	'07-May-2013'	2
25758	female	1	1	1	'04-Sep-2013'	2
25759	male	1	1	1	'08-Jul-2013'	2
25760	female	1	1	1	'06-May-2013'	2
25761	male	1	1	1	'04-May-2013'	2
25762	male	1	1	1	'04-May-2013'	2
25763	female	1	1	1	'08-Jul-2013'	2
25764	male	1	1	1	'05-May-2013'	2
25765	female	1	1	1	'04-Sep-2013'	2
25766	male	1	1	1	'03-Sep-2013'	2
25767	male	1	1	1	'03-Sep-2013'	2
25768	male	1	1	1	'08-Jul-2013'	2
25769	female	1	1	1	'06-Sep-2013'	2
25770	male	1	n/a	1	'08-Jul-2013'	2
25771	male	1	1	1	'03-Sep-2013'	2
25772	male	1	1	1	'05-May-2013'	2
25773	male	1	1	1	'07-May-2013'	2
25774	female	1	1	1	'04-May-2013'	2
25775	male	1	1	1	'03-Sep-2013'	2
25776	male	1	1	1	'05-May-2013'	2
25777	male	1	1	1	'05-May-2013'	2
25778	female	1	1	1	'04-May-2013'	2
25779	female	1	1	1	'04-Sep-2013'	2
25780	male	1	1	1	'04-Sep-2013'	2
25781	female	1	1	1	'04-Sep-2013'	2
25782	male	1	1	1	'05-May-2013'	2
25783	male	1	1	1	'04-May-2013'	2
25784	female	1	1	1	'04-Sep-2013'	2
25785	female	1	1	1	'05-May-2013'	2
25786	female	1	1	1	'03-Sep-2013'	2
25787	female	1	1	1	'05-May-2013'	2
25788	female	1	1	1	'05-May-2013'	2
25789	female	1	1	1	'03-Sep-2013'	2
25790	male	1	1	1	'07-Sep-2013'	2
25791	male	1	1	1	'08-Sep-2013'	2
25792	male	1	1	1	'10-Sep-2013'	2
25793	male	1	1	1	'10-Sep-2013'	2
25794	female	1	1	1	'02-Jul-2013'	2
25795	female	1	1	1	'06-May-2013'	2
25796	female	1	1	1	'05-May-2013'	2
25797	female	1	1	1	'10-Jun-2013'	2
25798	male	1	1	1	'17-Jun-2013'	2
25799	male	1	1	1	'05-May-2013'	2
25800	male	1	1	1	'03-Sep-2013'	2
25801	male	1	1	1	'03-Sep-2013'	2
25802	male	1	1	1	'05-May-2013'	2
25803	female	1	1	1	'10-Sep-2013'	2
25804	female	1	1	1	'10-Sep-2013'	2
25805	male	1	1	1	'07-May-2013'	2
25806	male	1	1	1	'05-May-2013'	2
25807	female	1	1	1	'24-Jun-2013'	2
25808	female	1	1	1	'07-Sep-2013'	2
25809	male	1	1	1	'03-May-2013'	2
25810	male	1	1	1	'17-Jun-2013'	2
25811	female	1	1	1	'04-May-2013'	2
25812	female	1	1	1	'06-May-2013'	2
25813	male	1	1	1	'10-Jun-2013'	2
25814	male	1	1	1	'04-Sep-2013'	2
25815	male	1	1	1	'04-May-2013'	2
25816	male	1	1	1	'04-May-2013'	2
25817	female	1	1	1	'11-Jun-2013'	2
25818	male	1	1	1	'11-Jun-2013'	2
25819	male	1	1	1	'24-Jun-2013'	2
25820	female	1	1	1	'07-May-2013'	2
25821	female	1	1	1	'04-May-2013'	2
25822	female	1	1	1	'06-May-2013'	2
25823	female	1	1	1	'06-May-2013'	2
25824	male	1	1	1	'07-May-2013'	2
25825	female	1	1	1	'24-Jun-2013'	2
25826	female	1	1	1	'02-Jul-2013'	2
25827	female	1	1	1	'06-May-2013'	2
25828	male	1	1	1	'08-Sep-2013'	2
25829	male	1	1	1	'05-May-2013'	2
25830	male	1	1	1	'04-May-2013'	2
25831	male	1	1	1	'07-Sep-2013'	2
25832	male	1	1	1	'11-Jun-2013'	2
25833	male	1	1	1	'06-Sep-2013'	2
25834	male	1	1	1	'06-Sep-2013'	2
25835	male	1	1	1	'04-May-2013'	2
25836	female	1	1	1	'07-May-2013'	2
25837	male	1	1	1	'06-Sep-2013'	2
25838	male	1	1	1	'04-Sep-2013'	2
25839	female	1	1	1	'07-Sep-2013'	2
